City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,12.66,light rain
80,Lazaro Cardenas,MX,17.9583,-102.2,89.17,57,92,3.29,overcast clouds
81,Clyde River,CA,70.4692,-68.5914,57.43,67,20,6.91,few clouds
82,Georgetown,MY,5.4112,100.3354,80.53,93,40,5.99,scattered clouds
83,Rapar,IN,23.5667,70.6333,81.61,84,100,18.32,overcast clouds
84,Hilo,US,19.7297,-155.09,84.27,96,100,5.75,moderate rain
85,Ternate,ID,0.8,127.4,79.75,79,16,4.59,few clouds
86,Kaitangata,NZ,-46.2817,169.8464,33.42,87,31,3.49,scattered clouds
87,Severo-Kurilsk,RU,50.6789,156.125,54.66,90,49,1.99,scattered clouds
88,La Roxas,PH,7.8642,124.8869,66.47,97,100,0.67,overcast clouds
89,Itarema,BR,-2.9248,-39.9167,81.21,71,14,16.96,few clouds
90,Adet,ET,11.2644,37.4888,57.04,96,100,5.28,light rain
91,Batticaloa,LK,7.7102,81.6924,80.62,73,100,7.09,overcast clouds
92,Zhigansk,RU,66.7697,123.3711,51.57,91,38,6.78,scattered clouds
93,Tasiilaq,GL,65.6145,-37.6368,42.96,75,100,2.21,overcast clouds
94,Gimli,CA,50.6336,-96.9907,68.9,62,40,18.63,scattered clouds
95,Pandrup,DK,57.2215,9.6757,58.73,74,98,15.84,overcast clouds
96,Mangan,IN,27.5167,88.5333,74.19,91,70,2.44,broken clouds
97,Tilichiki,RU,60.4667,166.1,46.63,84,100,7.45,overcast clouds
98,Sitka,US,57.0531,-135.33,55.29,94,100,0.0,mist
99,Viedma,AR,-40.8135,-62.9967,55.96,48,100,4.41,overcast clouds
100,Hutchinson,US,38.0608,-97.9298,104.52,33,0,16.11,clear sky
101,Nisia Floresta,BR,-6.0911,-35.2086,84.58,84,100,13.15,overcast clouds
102,Nanortalik,GL,60.1432,-45.2371,44.83,90,89,10.74,overcast clouds
103,Mehamn,NO,71.0357,27.8492,51.75,87,100,16.11,overcast clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,69,0,16.11,clear sky
105,Guerrero Negro,MX,27.9769,-114.0611,75.74,58,10,15.35,clear sky
106,Pevek,RU,69.7008,170.3133,35.98,84,100,1.77,overcast clouds
107,Badarpur,IN,24.9,92.6,76.91,95,100,3.76,light rain
108,Mkushi,ZM,-13.6202,29.3939,58.66,63,73,4.76,broken clouds
