City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Sena Madureira,BR,87.4,broken clouds,-9.0656,-68.6569,Hotel Central
650,San Juan De Los Morros,VE,89.64,clear sky,9.9115,-67.3538,Hotel La Montaña
657,Salinopolis,BR,82.63,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
658,Bahia Honda,CU,88.77,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
659,Qeshm,IR,89.47,overcast clouds,26.9581,56.2719,Qeshm Kavan Hotel
666,Barra Patuca,HN,82.08,overcast clouds,15.8,-84.2833,
667,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
671,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
673,The Valley,AI,81.41,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
674,Zaragoza,ES,89.89,clear sky,41.6561,-0.8773,Hotel Goya
682,Suluq,LY,83.03,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
